/home/luis/PycharmProjects/chameleon_cluster/venv/bin/python /home/luis/PycharmProjects/chameleon_cluster/main.py
Building kNN graph (k = 6)...
100%|██████████| 32/32 [00:00<00:00, 1877.38it/s]
Begin clustering...
  0%|          | 0/33 [00:00<?, ?it/s]/home/luis/PycharmProjects/chameleon_cluster/chameleon.py:15: RuntimeWarning: divide by zero encountered in double_scalars
  return EC / ((ECci + ECcj) / 2.0)
/home/luis/PycharmProjects/chameleon_cluster/venv/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/home/luis/PycharmProjects/chameleon_cluster/venv/lib/python3.6/site-packages/numpy/core/_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
%fs 2.368000103160739e-06
%fs 2.463999902829528e-06
%fs 5.507199838757515e-05
%fs 6.21119998395443e-05
%fs 5.292800068855286e-05
%fs 4.5311998575925826e-05
%fs 2.2720000706613066e-06
%fs 2.368000103160739e-06
%fs 5.4207999259233475e-05
%fs 2.368000103160739e-06
%fs 2.463999902829528e-06
%fs 5.38880005478859e-05
%fs 5.7599999010562895e-05
%fs 5.9039998799562455e-05
%fs 2.368000103160739e-06
%fs 2.463999902829528e-06
%fs 6.339199841022491e-05
%fs 2.2400000598281624e-06
%fs 2.4000001139938832e-06
%fs 5.593600124120712e-05
%fs 5.187200009822845e-05
%fs 5.1775999367237095e-05
%fs 5.2319999784231185e-05
%fs 5.57439997792244e-05
%fs 5.641600117087364e-05
%fs 2.495999913662672e-06
%fs 2.3040000814944505e-06
%fs 6.067200005054474e-05
%fs 2.5919999461621047e-06
%fs 2.5919999461621047e-06
%fs 5.484800040721894e-05
%fs 5.356800183653831e-05
%fs 5.087999999523163e-05
%fs 5.087999999523163e-05
%fs 2.527999924495816e-06
%fs 2.5919999461621047e-06
%fs 5.318399891257286e-05
%fs 2.463999902829528e-06
%fs 2.5599999353289604e-06
%fs 5.4880000650882725e-05
%fs 5.744000151753426e-05
%fs 5.9712000191211705e-05
%fs 2.431999891996384e-06
%fs 2.368000103160739e-06
%fs 5.897599831223488e-05
%fs 2.4000001139938832e-06
%fs 2.495999913662672e-06
%fs 5.379199981689453e-05
%fs 5.606399849057198e-05
%fs 5.4239999502897264e-05
%fs 2.880000043660402e-06
%fs 2.2720000706613066e-06
%fs 5.9744000434875486e-05
%fs 2.5599999353289604e-06
%fs 2.463999902829528e-06
%fs 6.166400015354157e-05
%fs 5.190400034189224e-05
%fs 5.641600117087364e-05
%fs 5.4687999188899995e-05
%fs 2.495999913662672e-06
%fs 2.3360000923275947e-06
%fs 6.063999980688095e-05
%fs 2.495999913662672e-06
%fs 2.3360000923275947e-06
%fs 5.4944001138210295e-05
%fs 6.604799628257751e-05
%fs 5.776000022888184e-05
%fs 2.463999902829528e-06
%fs 2.4000001139938832e-06
%fs 6.278400123119355e-05
%fs 2.527999924495816e-06
%fs 2.208000048995018e-06
%fs 5.286400020122528e-05
%fs 5.2480001002550127e-05
%fs 5.200000107288361e-05
